Sample ID,Source,Country,Lat,Long,Date,Note,Basin,Type,Class,Geothermal Field,Unit (milligram),Depth (m),Temperature,Density,pH,Alkalinity,(H)CO3,F_mg,Cl_mg,Br_mg,I_mg,SO4_mg,NO3_mg,PO4_mg,B_mg,Si_mg,As_mg,NH4_mg,Na_mg,K_mg,Li_mg,Ca_mg,Mg_mg,Al_mg,Fe_mg,Mn_mg,Zn_mg,Sr_mg,Ba_mg,Rb_mg,Cs_mg,TDS,d18O,d2H,d11B,d13C,87Sr/86Sr,d7Li,d18O (SO4),d34S (SO4),,Unit (mol),Alkalinity,Cl,Br,SO4,B,Si,Na,K,Li,Ca,Mg,NH4,% error,Na/Cl,Mg/Li
CAN-a,"Risacher and Fritz, 1991",Bolivia,-21.500589,-68.014431,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,7.5,1,6.5,1.7,,,270.48,,,124.88,,,1.1,29.5,,,144.83,20.4,1.3,60.12,18.01,,,,,,,,,808,,,,,,,,,,mmol/L,1.7,7.63,,1.3,0.102,1.05,6.3,0.522,0.187,1.5,0.741,,-1.9,0.83,13.9
CAN-b,"Risacher and Fritz, 1991",Bolivia,-21.516788,-68.019366,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,12.2,1,7.18,1.4,,,201.71,,,90.3,,,0.97,32,,,105.98,16.11,1,43.28,16.41,,,,,,,,,629,,,,,,,,,,mmol/L,1.39,5.69,,0.94,0.09,1.14,4.61,0.412,0.144,1.08,0.675,,-1.6,0.81,16.4
CAN-c,"Risacher and Fritz, 1991",Bolivia,-21.540941,-67.970314,,location approximate from digitized map,Laguna Canapa,Stream,Inflow,,mg/L,,5,1,7.23,0.5,,,3.76,,,36.02,,,0.35,22,,,12.51,2.81,0.05,8.98,3.6,,,,,,,,,147,,,,,,,,,,mmol/L,0.53,0.106,,0.375,0.032,0.783,0.544,0.072,7.20E-03,0.224,0.148,,-0.7,5.13,72
CAN-d,"Risacher and Fritz, 1991",Bolivia,-21.575405,-67.937151,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,8.5,1,3.8,-0.1,,,1.6,,,54.75,,,0.22,1.5,,,1.64,4.18,0.07,10.74,2.97,,,,,,,,,79,,,,,,,,,,mmol/L,-0.064,0.045,,0.57,0.02,0.052,0.0715,0.107,0.01,0.268,0.122,,-7.3,1.59,42.4
CAN-e,"Risacher and Fritz, 1991",Bolivia,-21.488627,-67.97363,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,7,1,6.2,0.1,,,0.85,,,10.66,,,0.28,8,,,4.92,1.8,0.07,1.52,0.49,,,,,,,,,44,,,,,,,,,,mmol/L,0.104,0.024,,0.111,0.026,0.285,0.214,0.046,0.01,0.038,0.02,,4.9,8.92,7
CAN-f,"Risacher and Fritz, 1991",Bolivia,-21.510896,-67.960798,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,5.5,1,4.33,0,,,2.98,,,20.56,,,0.32,3.7,,,4.21,3.99,0.03,2.77,0.8,,,,,,,,,44,,,,,,,,,,mmol/L,3.00E-03,0.084,,0.214,0.03,0.131,0.183,0.102,4.00E-03,0.069,0.033,,-2.2,2.18,26.7
CAN-N,"Risacher and Fritz, 1991",Bolivia,-21.507542,-68.01256,,location approximate from digitized map,Laguna Canapa,Brine,Terminal,,mg/L,,5,1.114,7.79,13.4,,,74799.5,,,34197.36,,,629.2,19.9,,,56552.94,6332.58,379.67,573.12,1049.98,,,,,,,,,175485,,,,,,,,,,mmol/L,13.4,2110,,356,58.2,0.71,2460,162,54.7,14.3,43.2,,-0.8,1.17,2.8
HED-a,"Risacher and Fritz, 1991",Bolivia,-21.561471,-68.037633,,location approximate from digitized map,Laguna Hediona,Spring,Inflow,,mg/L,,9,1,6.68,0.9,,,79.05,,,79.06,,,1.5,28.7,,,69.89,8.99,0.48,18,8.8,,,,,,,,,383,,,,,,,,,,mmol/L,0.929,2.23,,0.823,0.139,1.02,3.04,0.23,0.069,0.449,0.362,,1.6,1.36,18.3
HED-b,"Risacher and Fritz, 1991",Bolivia,-21.576875,-68.043825,,location approximate from digitized map,Laguna Hediona,Spring,Inflow,,mg/L,,10,1.006,7.28,3.7,,,3757.7,,,455.32,,,20.97,57.6,,,2098.9,200.14,14.99,299.78,113.99,,,,,,,,,7313,,,,,,,,,,mmol/L,3.65,106,,4.74,1.94,2.05,91.3,5.12,2.16,7.48,4.69,,1.6,0.86,7.6
HED-c,"Risacher and Fritz, 1991",Bolivia,-21.560864,-68.051767,,location approximate from digitized map,Laguna Hediona,Spring,Inflow,,mg/L,,13,1,7,1,,,104.93,,,77.04,,,1.39,34.3,,,80.46,10.01,0.42,18,8.6,,,,,,,,,435,,,,,,,,,,mmol/L,1,2.96,,0.802,0.129,1.22,3.5,0.256,0.061,0.449,0.354,,-1.3,1.18,20.5
HED-N,"Risacher and Fritz, 1991",Bolivia,-21.568518,-68.048319,,location approximate from digitized map,Laguna Hediona,Brine,Terminal,,mg/L,,15,1.17,6.69,25,,,119112,,,35542.2,,,1091.91,13.7,,,77243.04,8756.16,701.04,386.75,6610.96,,,,,,,,,251182,,,,,,,,,,mmol/L,25,3360,,370,101,0.487,3360,224,101,9.65,272,,1.5,1,9.4
CHI-a,"Risacher and Fritz, 1991",Bolivia,-21.574516,-68.07151,,location approximate from digitized map,Laguna Chiar Kota,Spring,Inflow,,mg/L,,13.5,1,7.31,0.8,,,52.82,,,75.02,,,0.95,30.1,,,49.89,6.41,0.49,16.99,7.41,,,,,,,,,323,,,,,,,,,,mmol/L,0.812,1.49,,0.781,0.088,1.07,2.17,0.164,0.071,0.424,0.305,,0,1.46,15.1
CHI-b,"Risacher and Fritz, 1991",Bolivia,-21.593685,-68.055182,,location approximate from digitized map,Laguna Chiar Kota,Spring,Inflow,,mg/L,,9.5,1.003,6.72,3.6,,,1885.94,,,750.23,,,15.46,38.8,,,1250.6,130.17,9.3,139.87,75.1,,,,,,,,,4560,,,,,,,,,,mmol/L,3.58,53.2,,7.81,1.43,1.38,54.4,3.33,1.34,3.49,3.09,,-0.1,1.02,8.1
CHI-c,"Risacher and Fritz, 1991",Bolivia,-21.595393,-68.071755,,location approximate from digitized map,Laguna Chiar Kota,Spring,Inflow,,mg/L,,15,1.001,7.5,1.9,,,967.79,,,106.63,,,6.16,42.1,,,498.86,60.2,4.1,111.82,29.9,,,,,,,,,1992,,,,,,,,,,mmol/L,1.89,27.3,,1.11,0.57,1.5,21.7,1.54,0.591,2.79,1.23,,0.7,0.79,7.3
CHI-N,"Risacher and Fritz, 1991",Bolivia,-21.588409,-68.065836,,location approximate from digitized map,Laguna Chiar Kota,Brine,Terminal,,mg/L,,8,1.164,7.38,12.9,,,141800,,,10854.78,,,782.72,17.1,,,79082.16,8443.44,707.98,1130.2,4617.95,,,,,,,,,248475,,,,,,,,,,mmol/L,12.9,4000,,113,72.4,0.608,3440,216,102,28.2,190,,-0.5,0.86,6.5
HON-a,"Risacher and Fritz, 1991",Bolivia,-21.623458,-68.061971,,location approximate from digitized map,Laguna Honda,Spring,Inflow,,mg/L,,12,1,7.63,2.2,,,254.53,,,75.02,,,1.79,43,,,141.61,21.38,0.85,52.1,15.41,,,,,,,,,787,,,,,,,,,,mmol/L,2.18,7.18,,0.781,0.166,1.53,6.16,0.547,0.123,1.3,0.634,,-1,0.86,18.1
HON-b,"Risacher and Fritz, 1991",Bolivia,-21.622132,-68.066276,,location approximate from digitized map,Laguna Honda,Spring,Inflow,,mg/L,,14,1,7.6,1.4,,,109.9,,,37.56,,,1.1,30.3,,,70.35,10.01,0.33,29.98,7.41,,,,,,,,,416,,,,,,,,,,mmol/L,1.39,3.1,,0.391,0.102,1.08,3.06,0.256,0.048,0.748,0.305,,1.8,0.99,22.5
HON-N,"Risacher and Fritz, 1991",Bolivia,-21.618806,-68.061778,,location approximate from digitized map,Laguna Honda,Brine,Terminal,,mg/L,,6,1.124,7.94,5.5,,,16484.25,,,4505.21,,,110.27,34.3,,,10000.22,1579.24,74.27,809.58,175,,,,,,,,,34172,,,,,,,,,,mmol/L,5.52,465,,46.9,10.2,1.22,435,40.4,10.7,20.2,7.2,,-2.1,0.94,2.4
PUJ-a,"Risacher and Fritz, 1991",Bolivia,-21.623283,-68.072094,,location approximate from digitized map,Laguna Pujio,Spring,Inflow,,mg/L,,9,1,7.52,2.9,,,235.74,,,104.71,,,2.9,31.5,,,189.89,14.39,0.58,54.91,8.6,,,,,,,,,855,,,,,,,,,,mmol/L,2.89,6.65,,1.09,0.268,1.12,8.26,0.368,0.084,1.37,0.354,,1.8,1.24,14.8
PUJ-b,"Risacher and Fritz, 1991",Bolivia,-21.626454,-68.069202,,location approximate from digitized map,Laguna Pujio,Spring,Inflow,,mg/L,,1,1,6.77,1.8,,,205.61,,,50.14,,,1.95,27.6,,,149.89,13.99,0.51,27.97,6.2,,,,,,,,,622,,,,,,,,,,mmol/L,1.76,5.8,,0.522,0.18,0.983,6.52,0.358,0.073,0.698,0.255,,1.4,1.12,12.2
PUJ-N,"Risacher and Fritz, 1991",Bolivia,-21.624106,-68.070038,,location approximate from digitized map,Laguna Pujio,Brine,Terminal,,mg/L,,10,1.044,7.62,21.2,,,26055.75,,,11527.2,,,314.6,36.5,,,19770.54,1598.78,66.98,621.21,449.64,,,,,,,,,61813,,,,,,,,,,mmol/L,21.2,735,,120,29.1,1.3,860,40.9,9.65,15.5,18.5,,-0.9,1.17,6.7
BAL-a,"Risacher and Fritz, 1991",Bolivia,-21.624713,-68.088698,,location approximate from digitized map,Laguna Balivian,Spring,Inflow,,mg/L,,14,1,7.18,0.9,,,299.55,,,164.26,,,2.1,32.9,,,194.95,23.41,0.45,65.33,11.3,,,,,,,,,889,,,,,,,,,,mmol/L,0.943,8.45,,1.71,0.194,1.17,8.48,0.599,0.065,1.63,0.465,,2,1,25.1
BAL-N,"Risacher and Fritz, 1991",Bolivia,-21.625449,-68.088644,,location approximate from digitized map,Laguna Balivian,Brine,Terminal,,mg/L,,10,1.079,7.1,12.4,,,61328.5,,,10182.36,,,329.74,27.6,,,38046.8,4143.54,77.74,1250.43,1599.27,,,,,,,,,117873,,,,,,,,,,mmol/L,12.4,1730,,106,30.5,0.983,1655,106,11.2,31.2,65.8,,0.3,0.96,20.6
RAM-a,"Risacher and Fritz, 1991",Bolivia,-21.645032,-68.073713,,location approximate from digitized map,Laguna Ramaditas,Spring,Inflow,,mg/L,,8.5,1.001,8.28,1.1,,,259.49,,,620.55,,,1.79,28.1,,,130.58,22.2,0.34,294.97,27.95,,,,,,,,,1487,,,,,,,,,,mmol/L,1.14,7.32,,6.46,0.166,1,5.68,0.568,0.049,7.36,1.15,,4.3,0.78,82.2
RAM-b,"Risacher and Fritz, 1991",Bolivia,-21.653531,-68.079487,,location approximate from digitized map,Laguna Ramaditas,Spring,Inflow,,mg/L,,25,1,8,0.8,,,197.81,,,175.79,,,1.6,33.7,,,140.92,14.82,0.23,70.14,5.01,,,,,,,,,726,,,,,,,,,,mmol/L,0.791,5.58,,1.83,0.148,1.2,6.13,0.379,0.033,1.75,0.206,,2.1,1.1,21.8
RAM-c,"Risacher and Fritz, 1991",Bolivia,-21.630995,-68.09336,,location approximate from digitized map,Laguna Ramaditas,Spring,Inflow,,mg/L,,15,1.001,8.55,1.6,,,475.03,,,233.43,,,2.9,22.5,,,400.01,55.12,0.64,29.98,3.06,,,,,,,,,1346,,,,,,,,,,mmol/L,1.62,13.4,,2.43,0.268,0.8,17.4,1.41,0.092,0.748,0.126,,1.9,1.3,4.8
RAM-d,"Risacher and Fritz, 1991",Bolivia,-21.644546,-68.029586,,location approximate from digitized map,Laguna Ramaditas,Stream,Inflow,,mg/L,,8,1,7.09,0.3,,,3.83,,,19.98,,,0.35,18.3,,,4.67,2.81,0.01,7.09,2.48,,,,,,,,,100,,,,,,,,,,mmol/L,0.325,0.108,,0.208,0.032,0.65,0.203,0.072,1.40E-03,0.177,0.102,,-0.9,1.88,248
RAM-N,"Risacher and Fritz, 1991",Bolivia,-21.636654,-68.082021,,location approximate from digitized map,Laguna Ramaditas,Brine,Terminal,,mg/L,,11,1.045,7.08,5.4,,,35272.75,,,4399.55,,,154.6,24.8,,,19770.54,2060.04,27.97,1907.71,760.75,,,,,,,,,64796,,,,,,,,,,mmol/L,5.44,995,,45.8,14.3,0.883,860,52.7,4.03,47.6,31.3,,-0.8,0.86,27.2
TUR-a,"Risacher and Fritz, 1991",Bolivia,-21.459093,-67.850107,,location approximate from digitized map,Laguna Turquiri,Stream,Inflow,,mg/L,,12,1,7.86,0.6,,,7.44,,,13.93,,,0.61,25.6,,,11.49,3.79,0.03,6.89,1.92,,,,,,,,,135,,,,,,,,,,mmol/L,0.58,0.21,,0.145,0.056,0.91,0.5,0.097,5.00E-03,0.172,0.079,,1.1,2.38,64
TUR-L,"Risacher and Fritz, 1991",Bolivia,-21.440523,-67.85692,,location approximate from digitized map,Laguna Turquiri,Lake,Terminal,,mg/L,,12,1,8.31,3.1,,,54.24,,,66.28,,,4.09,17.6,,,77.7,23.06,0.27,21.08,10.4,,,,,,,,,478,,,,,,,,,,mmol/L,3.05,1.53,,0.69,0.378,0.625,3.38,0.59,0.039,0.526,0.428,,-0.4,2.21,38.5
CHU-a,"Risacher and Fritz, 1991",Bolivia,-21.529099,-67.857723,,location approximate from digitized map,Laguna Chulluncani,Stream,Inflow,,mg/L,,5,1,8.1,0.4,,,4.5,,,12.97,,,0.45,17.3,,,10,2.81,0.01,1.76,1.6,,,,,,,,,93,,,,,,,,,,mmol/L,0.359,0.127,,0.135,0.042,0.617,0.435,0.072,0.001,0.044,0.066,,-1.9,3.43,160
CHU-L,"Risacher and Fritz, 1991",Bolivia,-21.548441,-67.879155,,location approximate from digitized map,Laguna Chulluncani,Lake,Terminal,,mg/L,,5,1.087,8.8,35,,,43958,,,26608.62,,,958.94,22,,,30115.59,12782.43,22.49,729.42,1900.65,,,,,,,,,119261,,,,,,,,,,mmol/L,35,1240,,277,88.7,0.783,1310,327,3.24,18.2,78.2,,0.1,1.06,84.5
PAG-a,"Risacher and Fritz, 1991",Bolivia,-21.536971,-67.777112,,location approximate from digitized map,Laguna Pastos Grandes,Spring,Inflow,,mg/L,,9,1,8.6,0.2,,,2.87,,,9.8,,,0.17,16.3,,,3.45,2.62,0,3.97,1.41,,,,,,,,,73,,,,,,,,,,mmol/L,0.236,0.081,,0.102,0.016,0.58,0.15,0.067,4.00E-04,0.099,0.058,,1,1.85,#DIV/0!
PAG-b,"Risacher and Fritz, 1991",Bolivia,-21.581777,-67.808743,,location approximate from digitized map,Laguna Pastos Grandes,Stream,Inflow,,mg/L,,0,1,8.91,0.8,,,10.39,,,9.51,,,0.43,13.7,,,16.3,2.55,0.1,6.81,2.8,,,,,,,,,125,,,,,,,,,,mmol/L,0.8,0.293,,0.099,0.04,0.487,0.709,0.0652,0.014,0.17,0.115,,2.5,2.42,28
PAG-c,"Risacher and Fritz, 1991",Bolivia,-21.589696,-67.791467,,location approximate from digitized map,Laguna Pastos Grandes,Stream,Inflow,,mg/L,,10,1,8.92,1.4,,,149.95,,,5,,,1.08,22.5,,,85.06,12.59,1.18,12.5,7.41,,,,,,,,,402,,,,,,,,,,mmol/L,1.36,4.23,,0.052,0.1,0.8,3.7,0.322,0.17,0.312,0.305,,-2.4,0.87,6.3
PAG-d,"Risacher and Fritz, 1991",Bolivia,-21.597162,-67.770299,,location approximate from digitized map,Laguna Pastos Grandes,Stream,Inflow,,mg/L,,1,1,7.12,0.8,,,5.6,,,5.48,,,0.32,21.7,,,6.6,1.63,0,8.98,3.21,,,,,,,,,124,,,,,,,,,,mmol/L,0.76,0.158,,0.057,0.03,0.772,0.287,0.0417,0,0.224,0.132,,0.4,1.82,#DIV/0!
PAG-e,"Risacher and Fritz, 1991",Bolivia,-21.726285,-67.746697,,location approximate from digitized map,Laguna Pastos Grandes,Stream,Inflow,,mg/L,,8.5,1,8,0.6,,,3.9,,,12.01,,,0.31,13.7,,,6.6,1.84,0,6.81,2.99,,,,,,,,,100,,,,,,,,,,mmol/L,0.61,0.11,,0.125,0.029,0.487,0.287,0.0471,0,0.17,0.123,,-2.6,2.61,#DIV/0!
PAG-f,"Risacher and Fritz, 1991",Bolivia,-21.702323,-67.818476,,location approximate from digitized map,Laguna Pastos Grandes,Spring,Inflow,,mg/L,,10,1,6.95,3.3,,,90.04,,,104.71,,,0.99,37.4,,,80,16.5,0.51,50.9,20.2,,,,,,,,,644,,,,,,,,,,mmol/L,3.3,2.54,,1.09,0.092,1.33,3.48,0.422,0.073,1.27,0.831,,1,1.37,39.6
PAG-g,"Risacher and Fritz, 1991",Bolivia,-21.677227,-67.846214,,location approximate from digitized map,Laguna Pastos Grandes,Spring,Inflow,,mg/L,,9.5,1.002,6.5,3,,,1527.9,,,126.8,,,8.1,45.5,,,928.76,125.87,11.04,46.89,13.39,,,,,,,,,3068,,,,,,,,,,mmol/L,2.95,43.1,,1.32,0.749,1.62,40.4,3.22,1.59,1.17,0.551,,0,0.94,1.2
PAG-h,"Risacher and Fritz, 1991",Bolivia,-21.628379,-67.863489,,location approximate from digitized map,Laguna Pastos Grandes,Spring,Inflow,,mg/L,,32,1.001,6.6,1.6,,,545.93,,,71.08,,,2.92,36,,,340.24,38.89,4.35,19.68,8.75,,,,,,,,,1208,,,,,,,,,,mmol/L,1.63,15.4,,0.74,0.27,1.28,14.8,0.995,0.626,0.491,0.36,,-1.1,0.96,2
PAG-i,"Risacher and Fritz, 1991",Bolivia,-21.598067,-67.85838,,location approximate from digitized map,Laguna Pastos Grandes,Spring,Inflow,,mg/L,,15,1,7,0.8,,,142.86,,,27.18,,,0.95,25.1,,,97.47,10.09,1.13,8.3,3.57,,,,,,,,,393,,,,,,,,,,mmol/L,0.788,4.03,,0.283,0.088,0.895,4.24,0.258,0.163,0.207,0.147,,-0.1,1.05,3.2
PAG-j,"Risacher and Fritz, 1991",Bolivia,-21.587886,-67.842564,,location approximate from digitized map,Laguna Pastos Grandes,Spring,Inflow,,mg/L,,13,1,7.82,0.6,,,59.2,,,7.2,,,0.32,9,,,46.67,4.3,0.52,3.29,1.6,,,,,,,,,179,,,,,,,,,,mmol/L,0.61,1.67,,0.075,0.03,0.32,2.03,0.11,0.075,0.082,0.066,,1.6,1.22,3.1
PAG-L,"Risacher and Fritz, 1991",Bolivia,-21.638557,-67.790981,,location approximate from digitized map,Laguna Pastos Grandes,Lake,Terminal,,mg/L,,5,1.211,7.2,22.9,,,193557,,,2459.14,,,943.8,31.5,,,102990.72,14189.67,1638.08,3098.03,3475.62,,,,,,,,,324141,,,,,,,,,,mmol/L,22.9,5460,,25.6,87.3,1.12,4480,363,236,77.3,143,,-0.1,0.82,2.1
CAL-a,"Risacher and Fritz, 1991",Bolivia,-21.718401,-67.931492,,location approximate from digitized map,Laguna Cachi,Spring,Inflow,,mg/L,,18,1,9.82,2.4,,,13.29,,,34.97,,,1.49,42.1,,,37.47,7.58,0.19,21.48,5.98,,,,,,,,,328,,,,,,,,,,mmol/L,2.35,0.375,,0.364,0.138,1.5,1.63,0.194,0.028,0.536,0.246,,-0.5,4.35,31.5
CAL-b,"Risacher and Fritz, 1991",Bolivia,-21.728816,-67.925574,,location approximate from digitized map,Laguna Cachi,Spring,Inflow,,mg/L,,5,1,9.15,2.5,,,48.92,,,65.03,,,1.45,32.9,,,65.98,17,0.45,20,13,,,,,,,,,443,,,,,,,,,,mmol/L,2.46,1.38,,0.677,0.134,1.17,2.87,0.435,0.065,0.499,0.535,,2.3,2.08,28.9
CAL-c,"Risacher and Fritz, 1991",Bolivia,-21.731854,-67.964038,,location approximate from digitized map,Laguna Cachi,Spring,Inflow,,mg/L,,12,1,7.53,2.1,,,3.69,,,11.53,,,0.32,44.9,,,38.39,11.18,0.3,6.29,2.7,,,,,,,,,297,,,,,,,,,,mmol/L,2.08,0.104,,0.12,0.03,1.6,1.67,0.286,0.043,0.157,0.111,,2.2,16.06,9
CAL-L,"Risacher and Fritz, 1991",Bolivia,-21.731275,-67.944417,,location approximate from digitized map,Laguna Cachi,Lake,Terminal,,mg/L,,25,1.238,10.05,2500,,,57074.5,,,35830.38,,,2497.34,202.2,,,91956,35571.9,846.8,6.01,2.92,,,,,,,,,337143,,,,,,,,,,mmol/L,2500,1610,,373,231,7.2,4000,910,122,0.15,0.12,,1.8,2.48,0
KAR-a,"Risacher and Fritz, 1991",Bolivia,-21.939727,-67.863489,,location approximate from digitized map,Laguna Kara,Stream,Inflow,,mg/L,,1,1,8.5,4.9,,,7.48,,,14.02,,,0.5,38.5,,,60,17.98,0.19,12.99,12.98,,,,,,,,,501,,,,,,,,,,mmol/L,4.88,0.211,,0.146,0.046,1.37,2.61,0.46,0.027,0.324,0.534,,-5.6,12.37,68.3
KAR-L,"Risacher and Fritz, 1991",Bolivia,-21.901805,-67.859596,,location approximate from digitized map,Laguna Kara,Lake,Terminal,,mg/L,,5,1.007,9.4,37.2,,,4112.2,,,208.45,,,84.97,31.7,,,3080.53,279.88,36.02,3.61,66.6,,,,,,,,,9997,,,,,,,,,,mmol/L,37.2,116,,2.17,7.86,1.13,134,7.16,5.19,0.09,2.74,,-1.8,1.16,1.8
CAP-a,"Risacher and Fritz, 1991",Bolivia,-21.917607,-67.580754,,location approximate from digitized map,Laguna Capina,Stream,Inflow,,mg/L,,1,1,7.88,0.5,,,1.99,,,5.28,,,0.56,17.8,,,4.21,2.97,0.1,4.41,1.97,,,,,,,,,91,,,,,,,,,,mmol/L,0.52,0.056,,0.055,0.052,0.633,0.183,0.076,0.014,0.11,0.081,,-2.3,3.27,19.7
CAP-b,"Risacher and Fritz, 1991",Bolivia,-22.041705,-67.598516,,location approximate from digitized map,Laguna Capina,Spring,Inflow,,mg/L,,2,1,8.28,2.1,,,26.55,,,20.65,,,1.28,26.3,,,37.01,10.4,0.2,18.4,6.49,,,,,,,,,301,,,,,,,,,,mmol/L,2.05,0.749,,0.215,0.118,0.938,1.61,0.266,0.029,0.459,0.267,,1.9,2.15,32.5
CAP-L,"Risacher and Fritz, 1991",Bolivia,-21.962746,-67.595353,,location approximate from digitized map,Laguna Capina,Lake,Terminal,,mg/L,,6,1.02,8.6,12.4,,,17264.15,,,0,,,278.92,34.3,,,8505.93,1458.06,192.96,801.56,260.06,,,,,,,,,29798,,,,,,,,,,mmol/L,12.4,487,,,25.8,1.22,370,37.3,27.8,20,10.7,,-0.3,0.76,1.3
CLD-a,"Risacher and Fritz, 1991",Bolivia,-22.167538,-67.790877,,location approximate from digitized map,Laguna Colorada,Spring,Inflow,,mg/L,,22,1,7.62,1.2,,,77.28,,,32.95,,,0.85,34.8,,,72.42,10.59,0.28,6.93,3.72,,,,,,,,,350,,,,,,,,,,mmol/L,1.17,2.18,,0.343,0.079,1.24,3.15,0.271,0.04,0.173,0.153,,0.9,1.44,13.3
CLD-b,"Risacher and Fritz, 1991",Bolivia,-22.17021,-67.746493,,location approximate from digitized map,Laguna Colorada,Spring,Inflow,,mg/L,,29,1.001,7.88,0.9,,,471.49,,,173.87,,,5.02,39,,,354.03,31.51,1.55,10.38,4.81,,,,,,,,,1192,,,,,,,,,,mmol/L,0.92,13.3,,1.81,0.464,1.39,15.4,0.806,0.223,0.259,0.198,,-1.4,1.16,3.1
CLD-c,"Risacher and Fritz, 1991",Bolivia,-22.175978,-67.714881,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,8,1,7.98,0.8,,,13.12,,,25.74,,,0.52,21.1,,,13.56,4.73,0.02,12.3,4.55,,,,,,,,,165,,,,,,,,,,mmol/L,0.763,0.37,,0.268,0.048,0.75,0.59,0.121,3.00E-03,0.307,0.187,,1,1.59,227.5
CLD-d,"Risacher and Fritz, 1991",Bolivia,-22.196021,-67.710365,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,11,1,7.85,0.7,,,3.01,,,19.31,,,0.19,19.8,,,10.99,1.25,0.05,5.85,4.59,,,,,,,,,130,,,,,,,,,,mmol/L,0.703,0.085,,0.201,0.018,0.705,0.478,0.032,7.00E-03,0.146,0.189,,-0.1,5.62,91.8
CLD-e,"Risacher and Fritz, 1991",Bolivia,-22.246188,-67.763311,,location approximate from digitized map,Laguna Colorada,Spring,Inflow,,mg/L,,2,1,8.18,2.6,,,74.45,,,63.5,,,1.01,23.9,,,75.86,13.41,0.32,27.37,8.97,,,,,,,,,470,,,,,,,,,,mmol/L,2.55,2.1,,0.661,0.093,0.85,3.3,0.343,0.046,0.683,0.369,,-1.5,1.57,28
CLD-f,"Risacher and Fritz, 1991",Bolivia,-22.238693,-67.779039,,location approximate from digitized map,Laguna Colorada,Spring,Inflow,,mg/L,,26,1.001,7.4,3.3,,,432.49,,,201.73,,,4.64,41.3,,,319.55,37.41,1.35,40.48,25.52,,,,,,,,,1350,,,,,,,,,,mmol/L,3.26,12.2,,2.1,0.429,1.47,13.9,0.957,0.195,1.01,1.05,,-1.3,1.14,18.9
CLD-g,"Risacher and Fritz, 1991",Bolivia,-22.257862,-67.803954,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,9,1,8.48,3.4,,,2.45,,,58.6,,,0.21,39.6,,,30.58,10.52,0.05,29.3,19.61,,,,,,,,,440,,,,,,,,,,mmol/L,3.4,0.069,,0.61,0.019,1.41,1.33,0.269,7.00E-03,0.731,0.807,,-0.1,19.28,392.2
CLD-h,"Risacher and Fritz, 1991",Bolivia,-22.22817,-67.79975,,location approximate from digitized map,Laguna Colorada,Spring,Inflow,,mg/L,,17,1.001,7.8,2.5,,,368.68,,,139.29,,,4.36,32.3,,,291.96,36.08,1.2,18.4,13.39,,,,,,,,,1091,,,,,,,,,,mmol/L,2.45,10.4,,1.45,0.403,1.15,12.7,0.923,0.173,0.459,0.551,,0.2,1.22,11.2
CLD-i,"Risacher and Fritz, 1991",Bolivia,-22.207988,-67.828403,,location approximate from digitized map,Laguna Colorada,Spring,Inflow,,mg/L,,23,1,7.88,0.8,,,382.86,,,132.56,,,3.75,34,,,280.47,26.7,1.2,11.3,8.14,,,,,,,,,970,,,,,,,,,,mmol/L,0.83,10.8,,1.38,0.347,1.21,12.2,0.683,0.173,0.282,0.335,,-0.3,1.13,6.8
CLD-j,"Risacher and Fritz, 1991",Bolivia,-22.192561,-67.820461,,location approximate from digitized map,Laguna Colorada,Spring,Inflow,,mg/L,,2,1.001,7.9,2.1,,,443.13,,,215.17,,,4.36,33.7,,,356.33,32.09,1.45,25.57,15.8,,,,,,,,,1291,,,,,,,,,,mmol/L,2.05,12.5,,2.24,0.403,1.2,15.5,0.821,0.209,0.638,0.65,,0.2,1.24,10.9
CLD-k,"Risacher and Fritz, 1991",Bolivia,-22.168335,-67.811741,,location approximate from digitized map,Laguna Colorada,Spring,Inflow,,mg/L,,18,1,7.4,0.7,,,207.38,,,105.67,,,2.54,33.1,,,173.57,15.79,0.7,7.17,4.37,,,,,,,,,630,,,,,,,,,,mmol/L,0.7,5.85,,1.1,0.235,1.18,7.55,0.404,0.101,0.179,0.18,,0.1,1.29,6.2
CLD-L,"Risacher and Fritz, 1991",Bolivia,-22.205072,-67.740826,,location approximate from digitized map,Laguna Colorada,Lake,Terminal,,mg/L,,6,1.081,8.4,31.5,,,64873.5,,,6445.63,,,611.9,45.8,,,40690.53,4260.81,195.74,259.71,913.87,,,,,,,,,120357,,,,,,,,,,mmol/L,31.5,1830,,67.1,56.6,1.63,1770,109,28.2,6.48,37.6,,0,0.97,4.7
